Mata_duree,Turtii_yeroo,Liinkii
Itoophiyaan qaala'insa gatii to'achuuf imaammata maallaqaa fooyyessuufi,11 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/cndk63r84dzo
"Aanaa Gooroo Doolaatti hidhaa, reebichi, saamichii fi buqqaatiin hammaachuu jiraattonni himan",Sa'aatii tokko dura,https://www.bbc.com//afaanoromoo/articles/c88vx8n092qo
Guyyaatti tarkaanfii 5000 lafoo deemuun du'a yeroo malee hambisa - Qorannoo,Sa'aatii tokko dura,https://www.bbc.com//afaanoromoo/articles/cy0pm8n5r35o
Arjantinaan deeggartoota kubbaa miilaa qarshii tarsaasan adabuufi,Sa'aatii tokko dura,https://www.bbc.com//afaanoromoo/articles/cw0nvdgdlwko
Raashiyaan dhimma Nijeer irratti gidduseentummaa waraanaa ECOWAS akeekkachiifte,Daqiiqaa 12 dura,https://www.bbc.com//afaanoromoo/articles/cx7yd35j3ewo
UN tarkaanfiin naannoo Amaaraatti fudhatamu kan wal gitu akka ta’u gaafate,11 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/c04xl38vp49o
'Magaalota Naannoo Amaaraatti nageenyiifi sochiin idilee deebi'eera' - Mootummaa,11 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/c2qdvrqr5x1o
Biyyoonni jajjaboon shan haalli Oromiyaafi Amaaraa keessaa nu yaaddeesse jedhan,11 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/cy7yz75dev2o
Magaalonni Naannoo Amaaraa humnoonni mootummaa to'atan maal keessa jiru?,10 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/crgl9ep8xv9o
Itoophiyaan jaalattoota saala wal fakkaatoo fi dhaabbilee gochichi keessatti raawwate jette irratti tarkaanfii fudhachuu himte,11 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/clk3eg74072o
Godina Qellam Wallaggaa keessaa ibsaa argataa kan jiran aanaalee lama qofa- Qondaala Humna ibsaa,11 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/c6pvjn7le23o
Xaa'oo tooniin kumoota dhibbaan alaa galaa jiru qonnaan bulaa qaqqabaa jiraa?,11 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/c3g8dyp55z5o
Biyyoonni Afrikaa lixaa rakkoo fonqolcha Niijeeriin dhalate humna waraanaan furuuf murteessan,11 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/c98prrvyxweo
Hospitaala Gondar hanqinni oksijiniifi qorichaa mudachuu himame,9 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/c281ly80mvdo
Walitti bu'iinsa Naannoo Amaaraatti fufeen lammiileen nagaa lubbuu dhabuu maddeen himan,8 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/cd1yx2nreg0o
"'Guyyoota sadiif hoteelaa hin baane, nyaatas hin arganne'- Barsiisaa qormaataaf Gondaritti ergaman",8 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/cjj1xljjepxo
'Tarkaanfii fudhatameen magaalota hedduutti nagaan bu'aa jira' - Naannoo Amaaraa,8 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/c1rz18dln8jo
Magaalaan Finfinnee fi naannoleen uummata Amaaraa fi Raayyaa Ittisaa cinaa hiriirra jedhan,7 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/crg7jlj9nvlo
'Naannoo Amaaraa Komaandi poostii afuritti hiruun oppireeshinii jalqabneerra',7 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/cw5r0gr2e47o
Dhaabbati Fayyaa Addunyaa haalli naannoo Amaaraa isa yaaddessuu hime,7 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/cede7z2v32yo
Obbo Kiristiyaan Taaddala humnoota nageenyaan to'annoo jala oolan,5 Hagayya 2023,https://www.bbc.com//afaanoromoo/articles/cpezpvgy3l3o
